Estaires,30,android.permission.WRITE_EXTERNAL_STORAGE,com.lumiplan.estaires.permission.C2D_MESSAGE,android.permission.ACCESS_WIFI_STATE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.ACCESS_NETWORK_STATE,com.oppo.launcher.permission.READ_SETTINGS,com.google.android.providers.gsf.permission.READ_GSERVICES,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.oppo.launcher.permission.WRITE_SETTINGS,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.READ_APP_BADGE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.sec.android.provider.badge.permission.READ,com.android.vending.CHECK_LICENSE,com.sec.android.provider.badge.permission.WRITE,com.anddoes.launcher.permission.UPDATE_COUNT,me.everything.badger.permission.BADGE_COUNT_WRITE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.ACCESS_COARSE_LOCATION,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.ACCESS_FINE_LOCATION,com.majeur.launcher.permission.UPDATE_BADGE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.htc.launcher.permission.READ_SETTINGS,android.permission.CAMERA,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Google CrashLytics,Google Firebase Analytics
Tournan-en-Brie,27,android.permission.VIBRATE,android.permission.WRITE_EXTERNAL_STORAGE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.ACCESS_NETWORK_STATE,com.oppo.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.oppo.launcher.permission.WRITE_SETTINGS,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.READ_APP_BADGE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.sec.android.provider.badge.permission.READ,com.sec.android.provider.badge.permission.WRITE,com.anddoes.launcher.permission.UPDATE_COUNT,me.everything.badger.permission.BADGE_COUNT_WRITE,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,com.localeo.tournan.permission.C2D_MESSAGE,android.permission.ACCESS_FINE_LOCATION,com.majeur.launcher.permission.UPDATE_BADGE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.htc.launcher.permission.READ_SETTINGS,android.permission.CAMERA,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Google CrashLytics,Google Firebase Analytics,OneSignal
Allô Saint-Denis,27,android.permission.VIBRATE,android.permission.WRITE_EXTERNAL_STORAGE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.ACCESS_NETWORK_STATE,com.oppo.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.oppo.launcher.permission.WRITE_SETTINGS,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.READ_APP_BADGE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.sec.android.provider.badge.permission.READ,com.sec.android.provider.badge.permission.WRITE,com.localeo.saintdenislr.permission.C2D_MESSAGE,com.anddoes.launcher.permission.UPDATE_COUNT,me.everything.badger.permission.BADGE_COUNT_WRITE,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.ACCESS_FINE_LOCATION,com.majeur.launcher.permission.UPDATE_BADGE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.htc.launcher.permission.READ_SETTINGS,android.permission.CAMERA,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Google CrashLytics,Google Firebase Analytics,OneSignal
Fresnes sur Escaut,14,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_FINE_LOCATION,com.lumiplan.fresnes.permission.C2D_MESSAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_MOCK_LOCATION,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.INTERNET,android.permission.WAKE_LOCK,com.android.vending.CHECK_LICENSE,android.permission.CAMERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Google CrashLytics,Google Analytics,Google Tag Manager
Hagondange,6,android.permission.WRITE_EXTERNAL_STORAGE,fr.hagondange.app.permission.C2D_MESSAGE,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Google Firebase Analytics
VLM l'appli,29,android.permission.WRITE_EXTERNAL_STORAGE,com.lumiplan.villeneuvelesmaguelone.permission.C2D_MESSAGE,android.permission.ACCESS_WIFI_STATE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.ACCESS_NETWORK_STATE,com.oppo.launcher.permission.READ_SETTINGS,com.google.android.providers.gsf.permission.READ_GSERVICES,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.oppo.launcher.permission.WRITE_SETTINGS,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.READ_APP_BADGE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.sec.android.provider.badge.permission.READ,com.android.vending.CHECK_LICENSE,com.sec.android.provider.badge.permission.WRITE,com.anddoes.launcher.permission.UPDATE_COUNT,me.everything.badger.permission.BADGE_COUNT_WRITE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.ACCESS_COARSE_LOCATION,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.ACCESS_FINE_LOCATION,com.majeur.launcher.permission.UPDATE_BADGE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.htc.launcher.permission.READ_SETTINGS,android.permission.CAMERA,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Google CrashLytics,Google Analytics,Google Tag Manager
Viroflay,7,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Google Firebase Analytics
Risques,14,android.permission.ACCESS_COARSE_LOCATION,android.permission.VIBRATE,fr.hyeres.risques.permission.MAPS_RECEIVE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CALL_PHONE,android.permission.ACCESS_FINE_LOCATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,fr.hyeres.risques.permission.C2D_MESSAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Google Firebase Analytics
Saint-Paul,11,android.permission.ACCESS_COARSE_LOCATION,android.permission.VIBRATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.CAMERA,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Google DoubleClick,Flurry,Google CrashLytics,ATInternet,Twitter MoPub,Google Analytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Google Ads,Smaato,Google Tag Manager,Inmobi,Millennial Media,Countly,MobFox
Etréchy,14,android.permission.ACCESS_COARSE_LOCATION,wifylgood.app.commune.etrechy.permission.C2D_MESSAGE,android.permission.WRITE_EXTERNAL_STORAGE,wifylgood.app.commune.etrechy.permission.MAPS_RECEIVE,android.permission.ACCESS_FINE_LOCATION,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.ACCESS_ASSISTED_GPS,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_LOCATION,com.google.android.c2dm.permission.RECEIVE,android.permission.CAMERA,android.permission.ACCESS_GPS,android.permission.INTERNET,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager
